ID,Make,Model,Class,Real_World,Price,Top_Speed_MPH,Acceleration,Handling,Drivetrain,Shop,HSW,Imani,Weaponized,Tags,Notes
1,Truffade,Adder,Super,Bugatti Veyron,1000000,250,8.5,7.2,AWD,Legendary,No,No,No,Hypercar,Classic supercar from original heists era
2,Pegassi,Zentorno,Super,Lamborghini Sesto Elemento,725000,245,8.8,7.5,RWD,Legendary,No,No,No,Hypercar,Fan favorite with great traction
3,Progen,T20,Super,McLaren P1,2200000,240,9.0,7.8,RWD,Legendary,No,No,No,Hypercar,One of the best all-around supers
4,Overflod,Entity XF,Super,Koenigsegg Agera,795000,240,8.6,7.4,RWD,Legendary,No,No,No,Hypercar,Excellent high-speed stability
5,Grotti,Turismo R,Super,Ferrari LaFerrari,500000,238,8.4,7.6,RWD,Legendary,No,No,No,Hypercar,Good starter super car
6,Pegassi,Osiris,Super,Pagani Huayra,1950000,237,8.7,7.3,RWD,Legendary,No,No,No,Hypercar,Great for stunt races
7,Bravado,Banshee 900R,Super,Dodge Viper,565000,235,8.9,6.8,RWD,Benny's,No,No,No,Tuner;Benny,Benny's upgraded Banshee
8,Pfister,Comet,Sports,Porsche 911,100000,220,8.2,7.8,RWD,Legendary,No,No,No,Classic,Iconic sports car
9,Annis,Elegy RH8,Sports,Nissan GT-R,0,218,8.5,8.0,AWD,Legendary,No,No,No,JDM;Free,Free with Social Club
10,Dinka,Jester,Sports,Honda NSX,240000,215,8.3,7.9,RWD,Legendary,Yes,No,No,JDM;HSW,HSW upgrade available
11,Dewbauchee,Massacro,Sports,Aston Martin Vanquish,275000,212,8.4,7.7,RWD,Legendary,No,No,No,British,Great handling sports car
12,Benefactor,Feltzer,Sports,Mercedes SLS AMG,145000,210,8.1,7.5,RWD,Legendary,No,No,No,German,Gullwing doors
13,Grotti,Carbonizzare,Sports,Ferrari California,195000,208,8.0,7.6,RWD,Legendary,No,No,No,Italian,Convertible option
14,Dewbauchee,Rapid GT,Sports,Aston Martin V8 Vantage,132000,205,7.8,7.4,RWD,Legendary,No,No,No,British,Classic British styling
15,Benefactor,Schwartzer,Sedans,Mercedes C-Class,80000,180,7.2,7.0,RWD,Legendary,No,No,No,German;Luxury,Luxury sedan
16,Obey,Tailgater,Sedans,Audi A6,55000,175,7.0,6.8,AWD,Legendary,No,No,No,German;Luxury,Executive sedan
17,Ubermacht,Oracle,Sedans,BMW 7 Series,80000,172,6.8,6.5,RWD,Legendary,No,No,No,German;Luxury,VIP transport
18,Dewbauchee,Exemplar,Coupes,Aston Martin Rapide,205000,195,7.5,7.2,RWD,Legendary,No,No,No,British;Luxury,Four-door coupe
19,Ocelot,Jackal,Coupes,Jaguar XK,60000,190,7.3,7.0,RWD,Legendary,No,No,No,British,Sleek coupe design
20,Ubermacht,Zion,Coupes,BMW 6 Series,65000,185,7.1,6.9,RWD,Legendary,No,No,No,German,Stylish coupe
21,Gallivanter,Baller,SUVs,Range Rover,90000,160,6.5,6.0,AWD,Legendary,No,Yes,No,Luxury;IMANI,Imani Tech available
22,Albany,Cavalcade,SUVs,Cadillac Escalade,60000,155,6.2,5.8,AWD,Legendary,No,Yes,No,American;IMANI,Armored option
23,Enus,Huntley S,SUVs,Bentley Bentayga,195000,158,6.4,6.2,AWD,Legendary,No,No,No,British;Luxury,Ultra luxury SUV
24,Vapid,Sandking XL,Off-Road,Ford F-250,45000,140,5.8,5.5,4WD,SSASA,No,No,No,Truck;Lifted,Monster truck style
25,Canis,Bodhi,Off-Road,Jeep CJ,25000,130,5.5,5.0,4WD,SSASA,No,No,No,Classic;Rustic,Trevor's truck
26,Pegassi,Bati 801,Motorcycles,Ducati 848,15000,230,9.5,8.5,RWD,Legendary,No,No,No,Sport Bike,Best value motorcycle
27,Dinka,Akuma,Motorcycles,Honda CBR,9000,225,9.8,8.0,RWD,Legendary,No,No,No,Sport Bike,Fastest acceleration bike
28,Shitzu,Hakuchou,Motorcycles,Suzuki Hayabusa,82000,228,9.2,7.8,RWD,Legendary,No,No,No,Sport Bike,Top speed demon
29,Dinka,Double T,Motorcycles,Honda CBR600,12000,220,9.0,7.5,RWD,Legendary,No,No,No,Sport Bike,Balanced performer
30,Pegassi,Ruffian,Motorcycles,Ducati Monster,9000,195,8.5,7.0,RWD,Legendary,No,No,No,Naked Bike,Street fighter style
31,Benefactor,Dubsta,SUVs,Mercedes G-Wagon,110000,165,6.6,6.3,AWD,Legendary,No,No,No,German;Luxury,Iconic SUV
32,Canis,Mesa,Off-Road,Jeep Wrangler,35000,135,5.6,5.2,4WD,SSASA,No,No,No,Off-Road,Military variant available
33,Karin,Sultan,Sports,Subaru Impreza WRX,12000,200,8.0,7.8,AWD,Street,No,No,No,JDM;Rally,Rally legend
