Vehicle_ID,GTA_Make,GTA_Model,Class,Real_World_Make,Real_World_Model,Price,Drivetrain,Shop,Top_Speed_MPH,Lap_Time,Weaponized,HSW,Imani,Bennys,Arena,Notes
001,Obey,10F,Sports,Audi,R8 Gen II,1675000,,Legendary,,1:03.180,TRUE,TRUE,FALSE,FALSE,FALSE,
002,Obey,10F Widebody,Sports,Audi,R8 Gen II,575000,,Bennys,,1:02.546,TRUE,TRUE,FALSE,FALSE,FALSE,
003,Annis,300R,Sports,2023,Nissan Z (RZ34),2075000,,Legendary,,1:03.847,TRUE,TRUE,TRUE,FALSE,FALSE,
004,Akula,Akula,Helicopters,Boeing–Sikorsky,"RAH-66 Comanch, Kamov Ka-50 ""Black Shark""",4500000,,Warstock,,0:54.368,TRUE,TRUE,FALSE,FALSE,FALSE,
005,Albany,Alpha,Sports,Cadillac,"Sixteen, 2013 Cadillac ATS",150000,,Arena,,1:05.315,TRUE,TRUE,FALSE,FALSE,TRUE,
006,Albany,Buccaneer,Muscle,Ford,"Fairlane, Buick Riviera",29000,,Bennys,,1:12.055,TRUE,TRUE,FALSE,FALSE,FALSE,
007,Albany,Buccaneer Custom,Muscle,Ford,"Fairlane, Buick Riviera",390000,,Bennys,,1:12.105,TRUE,TRUE,FALSE,FALSE,FALSE,
008,Albany,Cavalcade,SUVs,Cadillac,Escalade,60000,,Unknown,,1:19.125,TRUE,TRUE,FALSE,FALSE,FALSE,
009,Albany,Cavalcade II,SUVs,Cadillac,Escalade,70000,,Unknown,,1:19.109,TRUE,TRUE,FALSE,FALSE,FALSE,
010,Albany,Emperor,Sedans,Cadillac,Fleetwood,0,,Unknown,,1:25.251,TRUE,TRUE,FALSE,FALSE,FALSE,
011,Albany,Fränken Stange,Sports Classics,"Roosevelt,",1928 Cadillac 341A Town Sedan,550000,,Unknown,,1:16.126,TRUE,TRUE,FALSE,FALSE,FALSE,
012,Albany,Hermes,Muscle,Buick,Super and 1949-1951 Mercury Eight,535000,,Southern,,1:10.270,TRUE,TRUE,FALSE,FALSE,FALSE,
013,Albany,Lurcher,Muscle,"Buccaneer,",1967 Cadillac Funeral Coach,650000,,Southern,,1:13.757,TRUE,TRUE,FALSE,FALSE,FALSE,
014,Albany,Manana,Sports Classics,Buick,"LeSabre, Cadillac Eldorado",10000,,Bennys,,1:22.432,TRUE,TRUE,FALSE,FALSE,FALSE,
015,Albany,Primo,Sedans,Late,80's Pontiac Bonneville,9000,,Southern,,1:11.972,TRUE,TRUE,FALSE,FALSE,FALSE,
016,Albany,Primo Custom,Sedans,Late,80's Pontiac Bonneville,400000,,Bennys,,1:11.705,TRUE,TRUE,FALSE,FALSE,FALSE,
017,Albany,Roosevelt,Sports Classics,Cadillac,Town Sedan,750000,,Unknown,,1:16.497,TRUE,TRUE,FALSE,FALSE,FALSE,
018,Albany,Roosevelt Valor,Sports Classics,Cadillac,Town Sedan,982000,,Unknown,,1:14.925,TRUE,TRUE,FALSE,FALSE,FALSE,
019,Albany,Virgo,Muscle,Eight,generation Cadillac Eldorado,195000,,Legendary,,1:17.624,TRUE,TRUE,FALSE,FALSE,FALSE,
020,Albany,Washington,Sedans,Lincoln,Town Car,15000,,Unknown,,1:12.439,TRUE,TRUE,FALSE,FALSE,FALSE,
021,Vapid,Aleutian,SUVs,Fourth,generation Ford Expedition (U553),1835000,,Legendary,,1:12.989,TRUE,TRUE,TRUE,FALSE,FALSE,
022,Western Company,Company Annihilator Stealth,Helicopters,Stealth,prototype of a Sikorsky UH-60 Black Hawk,3870000,,Warstock,,1:00.238,TRUE,TRUE,FALSE,FALSE,FALSE,
023,Annis,Elegy Retro Custom,Sports,Nissan,Skyline GT-R,904000,,Bennys,,1:03.212,TRUE,TRUE,FALSE,FALSE,FALSE,
024,Annis,Elegy RH8,Sports,Nissan,GTR R35,95000,,Legendary,,1:02.279,TRUE,TRUE,FALSE,FALSE,FALSE,
025,Annis,RE-7B,Super,Nissan,"R390 GT1, Mazda 787B, Aquila CR-1, Memo Rojas BMW, 2014 Audi R18 e-tron Quattro",2475000,,Legendary,,0:59.076,TRUE,TRUE,FALSE,FALSE,FALSE,
026,Annis,S80RR,Super,Nissan,"R90C, Jaguar XJR-9",2575000,,Legendary,,0:58.959,TRUE,TRUE,FALSE,FALSE,FALSE,
