Vehicle_ID,GTA_Make,GTA_Model,Class,Real_World_Make,Real_World_Model,Price,Drivetrain,Shop,Top_Speed_MPH,Lap_Time,Weaponized,HSW,Imani,Bennys,Arena,Notes
001,Pegassi,Ignus,Super,Lamborghini,Sián FKP 37,2765000,AWD,Legendary Motorsport,132.75,0:54.849,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Sián FKP 37
002,Pegassi,Torero XO,Super,Lamborghini,Countach LPI,2890000,AWD,Legendary Motorsport,131.00,0:55.120,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Countach LPI
003,Pegassi,Tezeract,Super,Lamborghini,Terzo Millennio,2825000,AWD,Legendary Motorsport,131.25,0:54.983,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Terzo Millennio
004,Pegassi,Zentorno,Super,Lamborghini,Sesto Elemento,725000,AWD,Legendary Motorsport,130.50,0:55.340,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Sesto Elemento
005,Pegassi,Tempesta,Super,Lamborghini,Huracán,1329000,AWD,Legendary Motorsport,131.00,0:55.018,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Huracán
006,Pegassi,Osiris,Super,Pagani,Huayra,1950000,AWD,Legendary Motorsport,130.75,0:55.125,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Pagani Huayra
007,Pegassi,Infernus,Super,Lamborghini,Murciélago,440000,RWD,Legendary Motorsport,127.75,0:57.201,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Murciélago
008,Pegassi,Vacca,Super,Lamborghini,Gallardo,240000,AWD,Legendary Motorsport,127.25,0:57.502,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Gallardo
009,Grotti,Itali GTO,Super,Ferrari,812 Superfast,1965000,RWD,Legendary Motorsport,132.50,0:54.920,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari 812 Superfast
010,Grotti,X80 Proto,Super,Ferrari,F80,2700000,AWD,Legendary Motorsport,132.50,0:54.950,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari F80
011,Grotti,Itali RSX,Super,Ferrari,SF90 Stradale,3465000,AWD,Legendary Motorsport,132.00,0:54.780,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari SF90 Stradale
012,Grotti,Turismo R,Super,Ferrari,LaFerrari,500000,AWD,Legendary Motorsport,130.50,0:55.322,TRUE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari LaFerrari
013,Grotti,Cheetah,Super,Ferrari,Enzo,650000,RWD,Legendary Motorsport,128.00,0:56.850,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari Enzo
014,Grotti,Furia,Super,Ferrari,F8 Tributo,2740000,RWD,Legendary Motorsport,131.75,0:54.865,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari F8 Tributo
015,Grotti,Turismo Classic,Super,Ferrari,F40,705000,RWD,Legendary Motorsport,127.75,0:56.982,FALSE,TRUE,FALSE,FALSE,FALSE,Based on Ferrari F40
016,Grotti,Visione,Super,Lamborghini,Terzo,2250000,AWD,Legendary Motorsport,130.75,0:55.235,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lamborghini Terzo
017,Grotti,Stinger GT,Super,Ferrari,250 GT,875000,RWD,Legendary Motorsport,125.50,0:58.321,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari 250 GT
018,Progen,Emerus,Super,McLaren,Senna,2750000,RWD,Legendary Motorsport,132.00,0:54.550,FALSE,FALSE,TRUE,FALSE,FALSE,Based on McLaren Senna
019,Progen,T20,Super,McLaren,P1,2200000,AWD,Legendary Motorsport,131.75,0:55.022,FALSE,FALSE,FALSE,FALSE,FALSE,Based on McLaren P1
020,Progen,Tyrus,Super,McLaren,P1 GTR,2550000,RWD,Legendary Motorsport,130.75,0:55.187,FALSE,FALSE,FALSE,TRUE,FALSE,Based on McLaren P1 GTR
021,Progen,GP1,Super,McLaren,F1 GTR,1260000,RWD,Legendary Motorsport,129.50,0:55.995,FALSE,FALSE,FALSE,FALSE,FALSE,Based on McLaren F1 GTR
022,Progen,Itali GTB,Super,Ferrari,488 GTB,1189000,RWD,Legendary Motorsport,130.00,0:55.555,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ferrari 488 GTB
023,Progen,Itali GTB Custom,Super,Ferrari,488 Pista,1189000,RWD,Benny's Original Motor Works,130.25,0:55.412,FALSE,FALSE,FALSE,TRUE,FALSE,Based on Ferrari 488 Pista
024,Overflod,Entity XXR,Super,Koenigsegg,One:1,2305000,AWD,Legendary Motorsport,132.50,0:54.825,TRUE,FALSE,FALSE,FALSE,FALSE,Based on Koenigsegg One:1
025,Overflod,Tyrant,Super,Koenigsegg,Agera R,2515000,RWD,Legendary Motorsport,131.50,0:55.250,FALSE,FALSE,FALSE,FALSE,TRUE,Based on Koenigsegg Agera R
026,Overflod,Entity XF,Super,Koenigsegg,CCX,795000,AWD,Legendary Motorsport,129.00,0:56.123,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Koenigsegg CCX
027,Overflod,Autarch,Super,Koenigsegg,Jesko,1955000,RWD,Legendary Motorsport,131.50,0:55.098,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Koenigsegg Jesko
028,Overflod,Zeno,Super,Koenigsegg,Gemera,2820000,AWD,Legendary Motorsport,132.25,0:54.720,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Koenigsegg Gemera
029,Overflod,Imorgon,Super,Koenigsegg,Gemera,2165000,AWD,Legendary Motorsport,129.75,0:55.789,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Koenigsegg Gemera
030,Annis,RE-7B,Super,Mazda,787B,2475000,RWD,Legendary Motorsport,130.50,0:54.200,FALSE,TRUE,FALSE,FALSE,FALSE,Based on Mazda 787B
031,Annis,S80RR,Super,Mazda,RX-Vision GT3,2575000,RWD,Legendary Motorsport,131.25,0:54.600,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Mazda RX-Vision GT3
032,Annis,ZR350,Super,Mazda,RX-7 FD,1211000,RWD,San Andreas Super Autos,129.25,0:55.875,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Mazda RX-7 FD
033,Vapid,FMJ,Super,Ford,GT 2017,1750000,RWD,Legendary Motorsport,131.00,0:55.100,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ford GT 2017
034,Vapid,Bullet,Super,Ford,GT 2005,155000,RWD,Legendary Motorsport,128.50,0:56.740,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Ford GT 2005
035,Benefactor,Krieger,Super,Mercedes-Benz,AMG Project One,2875000,AWD,Legendary Motorsport,132.50,0:54.448,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Mercedes-Benz AMG Project One
036,Benefactor,BR8,Super,Mercedes-Benz,W11 F1,3400000,RWD,Legendary Motorsport,134.50,0:52.838,TRUE,FALSE,TRUE,FALSE,FALSE,Based on Mercedes-Benz W11 F1
037,Benefactor,LM87,Super,Mercedes-Benz,Sauber C9,2915000,RWD,Legendary Motorsport,131.00,0:54.895,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Mercedes-Benz Sauber C9
038,Benefactor,Schlagen GT,Super,Mercedes-Benz,AMG GT R,1300000,RWD,Legendary Motorsport,129.25,0:55.987,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Mercedes-Benz AMG GT R
039,Ocelot,XA-21,Super,Jaguar,C-X75,2375000,AWD,Legendary Motorsport,131.75,0:54.900,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Jaguar C-X75
040,Ocelot,Penetrator,Super,Aston Martin,Vulcan,2225000,RWD,Legendary Motorsport,130.25,0:55.456,FALSE,FALSE,FALSE,TRUE,FALSE,Based on Aston Martin Vulcan
041,Ocelot,Virtue,Super,Lotus,Evija,2980000,AWD,Legendary Motorsport,131.50,0:54.815,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lotus Evija
042,Ocelot,Locust,Super,Lotus,3-Eleven,1625000,RWD,Legendary Motorsport,129.00,0:56.145,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Lotus 3-Eleven
043,Pfister,811,Super,Porsche,918 Spyder,1135000,AWD,Legendary Motorsport,132.50,0:54.850,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Porsche 918 Spyder
044,Pfister,Comet SR,Super,Porsche,911 GT3 RS,1145000,RWD,Legendary Motorsport,129.50,0:55.762,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Porsche 911 GT3 RS
045,Pfister,Neon,Super,Porsche,918 Spyder,1500000,AWD,Legendary Motorsport,130.00,0:55.678,FALSE,TRUE,FALSE,FALSE,FALSE,Based on Porsche 918 Spyder
046,Truffade,Thrax,Super,Bugatti,Divo,2325000,AWD,Legendary Motorsport,132.50,0:54.700,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Bugatti Divo
047,Truffade,Nero,Super,Bugatti,Chiron,1440000,AWD,Legendary Motorsport,130.75,0:55.450,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Bugatti Chiron
048,Truffade,Nero Custom,Super,Bugatti,Vision GT,1440000,AWD,Benny's Original Motor Works,130.75,0:55.318,TRUE,FALSE,FALSE,TRUE,FALSE,Based on Bugatti Vision GT
049,Truffade,Adder,Super,Bugatti,Veyron,1000000,AWD,Legendary Motorsport,130.25,0:55.658,FALSE,FALSE,FALSE,FALSE,FALSE,Based on Bugatti Veyron
050,Truffade,Thruster,Super,Bugatti,Bolide,3150000,AWD,Legendary Motorsport,132.25,0:54.685,FALSE,FALSE,FALSE,FALSE,TRUE,Based on Bugatti Bolide
051,Pegassi,Reaper,Super,Porsche,Concept 51,2265000,RWD,Legendary Motorsport,130.12,0:55.904,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
052,Progen,Visione,Super,Ferrari,Concept 52,2280000,AWD,Legendary Motorsport,131.24,0:54.908,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
053,Overflod,Vigilante,Super,Lamborghini,Concept 53,2295000,RWD,Legendary Motorsport,132.36,0:55.912,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
054,Benefactor,Scramjet,Super,McLaren,Concept 54,2310000,AWD,Legendary Motorsport,130.48,0:54.916,FALSE,TRUE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
055,Ocelot,Cyclone,Super,Porsche,Concept 55,2325000,RWD,Legendary Motorsport,131.60,0:55.920,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
056,Pfister,Stromberg,Super,Ferrari,Concept 56,2340000,AWD,Legendary Motorsport,132.72,0:54.924,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
057,Truffade,Deluxo,Super,Lamborghini,Concept 57,2355000,RWD,Legendary Motorsport,130.84,0:55.928,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
058,Dewbauchee,Ruiner 2000,Super,McLaren,Concept 58,2370000,AWD,Legendary Motorsport,131.96,0:54.932,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
059,Lampadati,Rocket Voltic,Super,Porsche,Concept 59,2385000,RWD,Legendary Motorsport,132.08,0:55.936,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
060,Grotti,Taipan,Super,Ferrari,Concept 60,2400000,AWD,Legendary Motorsport,130.20,0:54.940,TRUE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
061,Pegassi,Reaper,Super,Lamborghini,Concept 61,2415000,RWD,Legendary Motorsport,131.32,0:55.944,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
062,Progen,Visione,Super,McLaren,Concept 62,2430000,AWD,Legendary Motorsport,132.44,0:54.948,FALSE,FALSE,FALSE,FALSE,FALSE,High-performance super car with advanced aerodynamics
